speaker,occupation,introduction,profile,Gender_auto,MaleScore,FemaleScore,NonBinaryScore,Gender_handcheck
Keller Rinaudo,Robotics entrepreneur,"Keller Rinaudo is CEO and co-founder of Zipline, building drone delivery for global public health customers. (He's also co-founder of Romotive, makers of the tiny robot, Romo.)","Why you should listen
As CEO and co-founder of Zipline, a drone delivery company focused on health care, Keller Rinaudo works with the country of Rwanda to make last-mile deliveries of blood to half of the transfusing facilities in the country. The ultimate goal is to put each of the 12 million citizens of Rwanda within a 15–30 minute delivery of any essential medical product they need, no matter where they live.Zipline is also working with GAVI, UPS, USAID and several other countries in East Africa. The company is a team of 60 aerospace and software engineers headquartered in San Francisco, CA. It's funded by Sequoia Capital, Google Ventures, Paul Allen, Jerry Yang and Stanford University. Rinaudo is also a professional rock climber ranked top 10 in sport climbing. He has scaled alpine cliffs in France, underwater caves in Kentucky and the limestone towers of Yangshuo, China.",non-binary,1,0,2,male
Alex Laskey,Energy software maker,"Alex Laskey helps power companies to help their customers cut down — using data analysis, marketing and a pinch of psychology.","Why you should listen
What's a powerful way to help people use less power at home? Pit them against their neighbors. As founder and president of Opower, Alex Laskey helps utlity companies show customers, right on their utility bills, where their own house sits on the spectrum of neighborhood energy wasters -- and how to beat the game. It seems silly, but the large-scale reductions in energy usage are no joke.Opower works with more than 80 utilities on three continents, and serves over 15 million customers. Since its launch in 2008, it has cumulatively saved utility customers more than $200 million and 2 terawatt hours (TWh) of energy -- enough to power a city of more than a quarter million people. It's all through a powerful combination of behavioral science, data analytics and good marketing.In the next twelve months, Opower is on track to save another 1 TWh, equivalent to more than one half the generation of the entire US solar power plant industry in 2011. In May 2016, Opower was bought by Oracle.
What others say

“Part of an ambitious strategy to turn utilities into a consumer-centric industry that provides people with services, not merely a monthly bill.” — Steven Overly, Wall Street Journal",non-binary,0,0,5,male
Jinsop Lee,Multi-sense designer,Jinsop Lee is an industrial designer who believes that great design appeals to all five senses.,"Why you should listen
A former professor of design, Jinsop Lee founded the firm Uncle Oswald Is My Hero, which produces clever iPod speakers from old telephone handsets. And we'll let him take it from here:""My design background began when I was 5 years old. My mother cruelly refused to buy me a Star Wars X-wing fighter, so I built my own from Lego. Yes, I was the traumatized little boy in the corner of the playground holding the multi-coloured Lego X-wing fighter. However, this did teach me an important lesson: You don't have to follow the instructions that come with the box. As an adult, I started my career as a suit-wearing design consultant, designing stuff and strategies for large companies. I then spent a mandatory two years in the Korean Army without killing anybody. Then I began teaching English, which eventually led to a job as an associate professor of industrial design. Being a professor means you're designing the most important thing of all: students and the type of designers they will later become.""Now I am working on a series of short videos about industrial design. Each video follows a simple formula: the viewer must learn something new about design while laughing (or snickering) an average of two times per minute. It turns out the second criteria is much harder than the first.""
What others say

“As a designer this guy has given me so much to think about.” — Owen Moss on TED.com",non-binary,1,0,2,male
Jeremy Kasdin,Planet finder,"Using innovative orbiting instruments, aerospace engineer Jeremy Kasdin hunts for the universe’s most elusive objects — potentially habitable worlds.","Why you should listen
At Princeton’s High Contrast Imaging Laboratory, Jeremy Kasdin is collaborating on a revolutionary space-based observatory that will unveil previously unseen (and possibly Earth-like) planets in other solar systems.One of the observatory’s startling innovations is the starshade, an orbiting ""occulter"" that blocks light from distant stars that ordinarily outshine their dim planets, making a clear view impossible. When paired with a space telescope, the starshade adds a new and powerful instrument to NASA’s cosmic detection toolkit.
What others say

“A flower-shaped spacecraft may help scientists see Earth-like alien worlds like never before. Called a ""starshade,"" the huge, sunflower-like spacecraft would deploy to its full size in space, blocking the light of distant stars so that a space-based telescope can image exoplanets in orbit around the stars. With this technology, researchers could directly image other worlds and potentially find long sought-after Earth twins, a historically difficult task for alien planet hunters.” — Huffington Post",non-binary,0,0,1,male
David Epstein,Sports science reporter,"David Epstein is an investigative reporter who covers the wide-open space where sports, science and medicine overlap.","Why you should listen
David Epstein writes about the developing science around sport -- from performance-enhancing drugs to the lucky genetics that separate a professional athlete from a duffer. A science writer and longtime contributor to Sports Illustrated, he's helped break stories on steroids in baseball, fraudulently marketed health remedies, and big-money irregularities in ""amateur"" college football. In 2007, inspired by the death of a childhood friend, he wrote a moving exploration of the most common cause of sudden death in young athletes, a hard-to-diagnose heart irregularity known as HCM. Now an investigative reporter at ProPublica, Epstein is the author of The Sports Gene, a book that explores the complex factors that make up a championship athlete. Is there such a thing as natural greatness, or can even extreme skills -- like the freaky-fast reaction of a hockey great -- be learned? Conversely, is the desire and will to master extreme skills something you're born with?
What others say

“I recommend this book generally to sports fans, but more importantly this book should also be read by people who are broadly interested in how an individual’s biology interacts with their behavior (training), their environment, and their culture.” — Dr. Mike Joyner, Mayo Clinic",non-binary,1,0,3,male
Jon Mooallem,Writer,"Jon Mooallem is the author of ""Wild Ones: A Sometimes Dismaying, Weirdly Reassuring Story About Looking at People Looking at Animals in America.""","Why you should listen
What do we see when we look at wild animals -- do we respond to human-like traits, or thrill to the idea of their utter unfamiliarity? Jon Mooallem's book, Wild Ones , examines our relationship with wild animals both familiar and feral, telling stories of the North American environmental movement from its unlikely birth, and following three species who've come to symbolize our complicated relationship with whatever ""nature"" even means anymore.Mooallem has written about everything from the murder of Hawaiian monk seals, to Idahoan utopians, to the world’s most famous ventriloquist, to the sad, secret history of the invention of the high five. A recent piece, ""American Hippopotamus,"" was an Atavist story on, really, a plan in 1910 to jumpstart the hippopotamus ranching industry in America.
What others say

“[Mooallem] does a better job than almost anyone at taking obscure and often amusing phenomenon…and spinning tales that ponder their deeper meanings. ” — New Yorker",non-binary,0,0,2,male
Linus Torvalds,Software engineer,"In 1991, Linus Torvalds shared the Linux kernel with a few computer hobbyists. The operating system they built reshaped the software industry.","Why you should listen
Fascinated by the economy and elegance of experimental operating system Minix, computer scientist Linus Torvalds wrote an operating system kernel and shared it with independent programmers. The system that they fleshed out and released in 1994 -- Linux -- was remarkable not only for its utility and efficiency but also for the collaboration of its community.   Now enjoying mainstream respectability (and the support of the computer industry), Linux runs on the servers of Amazon, Google, and much of the wired world. As the sole arbiter of code for the Linux Foundation (which he characteristically downplays by saying “the only power I have is to say ‘no’”), Torvalds quietly inspires open-source projects worldwide.
What others say

“[Torvalds has] been as instrumental in retooling the production lines of the modern economy as Henry Ford was 100 years earlier.” — Bloomberg.com, June 16, 2015t",non-binary,1,0,2,male
Michael Murphy,Designer,"As co-founder and CEO of MASS Design Group, Michael Murphy envisions and creates  community-centric structures with healing built into their core.","Why you should listen
Michael Murphy is the executive director of MASS Design Group. He spearheads MASS' research and design programs and has helped expand the firm into ten countries and three continents.Murphy led the design and construction of MASS's first project, the Butaro Hospital in Rwanda, which opened in 2011. The award-winning hospital established the MASS blueprint: immersive study of each location for its challenges and advantages, design of buildings that will improve the well-being of patients and communities, low-impact and environmentally sensitive construction that enriches the community, and evaluation of each design’s impact in improving lives.
What others say

“A leader in public-interest design, Murphy creates elegant, functional spaces that serve communities not usually consulted about their needs.” — Atlantic, November 2013",non-binary,1,0,2,male
Stephen Lawler,General manager of Microsoft's Virtual Earth,"Stephen Lawler and the Virtual Earth team have created an addictively interactive 3D world that is poised to reinvent our view of advertising, gaming, weather/traffic reporting, instant messaging and more.","Why you should listen
Microsoft's Stephen Lawler offers a tour of Virtual Earth  that not only reveals the power and potential of the software itself, but also gives a global glimpse of the new virtual frontier of digital globes, the 3D Web and the metaverse.Lawler also explores the enormous effort it takes to create the fluid blending and shifting between the multiple views and resolutions of Virtual Earth. From the satellites and airplanes that gather photo data for a top-down view to the ground vehicles and headgear-wearing pedestrians who canvas the ground for an eye-level perspective -- all of it represents a monumental effort of logistics and mechanics.
What others say

“The cool bird's-eye views were enough of a draw in the previous version, but the 3D is downright addictive. This probably would be enough to please most people even without the local search, maps, and wealth of extra features.” — PC Magazine",no pronouns,0,0,0,male
Frederick Balagadde,Inventor,"TED Senior Fellow Frederick Balagadde invented the micro-chemostat, a first-of-its-kind, dime-sized piece of transparent plastic that can orchestrate the behavior of living cells.","Why you should listen
Frederick Balagadde is a research scientist in the Engineering Technologies Division at Lawrence Livermore National Laboratory. As a graduate student at Caltech and Stanford University, Frederick invented the micro-chemostat: a first-of-its-kind microfabricated fluidic chip that mimics a biological cell culture environment in a highly complex web of tiny pumps and human hair-sized water hoses, all controlled by a multitasking computer.Frederick's pioneering research has attracted interest in the scientific community, including a publication in Science Magazine.Frederick was a TEDGlobal 2009 Fellow and is a TED Senior Fellow.
What others say

“Silicon microelectronics have made computation ever faster, cheaper, more accessible and more powerful. Microfluidic chips, feats of miniscule plumbing where more than a hundred cell cultures or other experiments can take place in a rubbery silicone integrated circuit the size of a quarter, could bring a similar revolution of automation to biological and medical research.” — Stanford University News",no pronouns,0,0,0,male
"Christopher ""moot"" Poole""","Founder, 4chan","Christopher ""moot"" Poole is founder of 4chan, an online imageboard whose anonymous denizens have spawned the web's most bewildering — and influential — subculture.","Why you should listen
Since its inception in 2003, Christopher ""moot"" Poole's controversial imageboard, 4chan, has gained worldwide notoriety as a breeding ground for many of the most recognizable Internet ""memes"" (think LOLcats). It was also the source of a high-profile hack of a mainstream media website and at least one spirited -- if morally inscrutable -- activist campaign in the real world.
Despite the server-crippling traffic it attracts, this last major enclave of the untamed Internet terrifies advertisers, and moot struggles to keep it afloat. Though you might regard much of its content as obscene or just plain weird, it's become a fixture on the fringe of the mainstream -- and a cultural force all its own.
In January 2015 Poole stepped down from 4chan after eleven and a half years as its founding administrator.",no pronouns,0,0,0,male
Elliot Krane,Pediatric anesthesiologist,"At the Lucile Packard Children's Hospital at Stanford, Elliot Krane works on the problem of treating pain in children.","Why you should listen
It's an awful problem to contemplate: How do you help a young child in pain? As director of Pain Management Services at Lucile Packard Children's Hospital at Stanford, Elliot Krane  works on solving this problem, studying and treating kids who are undergoing surgeries, suffering from complications of diabetes -- and kids suffering ""neuropathic pain"" resulting from injury to the nervous system itself.",no pronouns,0,0,0,male
Terry Moore,Thinker,"Terry Moore is the director of the Radius Foundation, a forum for exploring and gaining insight from different worldviews.","Why you should listen
Terry Moore directs the Radius Foundation  in New York, which, as its website says, ""seeks new ways of exploring and understanding  dissimilar conceptual systems or paradigms -- scientific, religious,  philosophical, and aesthetic -- with the aim to find a world view of more  complete insight and innovation. The Radius Foundation is a forum for different views."" 	The foundation has published several works  that examine the intersection of religion and metaphysics with science and social action.
What others say

“His useful and whimsical presentation on how to tie shoes correctly was an easy way to return home from Monterey a better and wiser person.” — anon, the TEDBlog",no pronouns,0,0,0,male
Jack Choi,Technologist,"Jack is the CEO of Anatomage, a company specializing on 3D medical technology.","Why you should listen
Jack W. Choi is the founder and CEO of Anatomage Inc., based in California. Beginning as an imaging software company, Anatomage now makes 3D imaging software, an image-guided surgical device, anatomy modeling contents and the virtual dissection table.",no pronouns,0,0,0,male
Frank Warren,Secret keeper,"Frank Warren is the creator of the PostSecret Project, a blog full of secrets anonymously shared via postcard.","Why you should listen
Frank Warren is the creator of The PostSecret Project, a collection of highly personal and artfully decorated postcards mailed anonymously from around the world, displaying the soulful secrets we never voice. Since November 2004, Warren has received more than 500,000 postcards, with secrets that run from sexual taboos and criminal activity to confessions of secret beliefs, hidden acts of kindness, shocking habits and fears. PostSecret is a safe and anonymous ""place"" where people can hear unheard voices and share untold stories.
What others say

“The secrets I receive reflect the full spectrum of complicated issues that many of us struggle with every day: Intimacy, trust, meaning, humor, and desire.” — Frank Warren",no pronouns,0,0,0,male
Bran Ferren,Technology designer,"Once known for entertaining millions by creating special effects for Hollywood, theme parks and Broadway, Applied Minds cofounder Bran Ferren now solves impossible tech challenges with previously unimaginable inventions.","Why you should listen
After dropping out of MIT in 1970, Bran Ferren became a designer and engineer for theater, touring rock bands, and dozens of movies, including Altered States and Little Shop of Horrors, before joining Disney as a lead Imagineer, then becoming president of R&D for the Walt Disney Company. In 2000, Ferren and partner Danny Hillis left Disney to found Applied Minds, a playful design and invention firm dedicated to distilling game-changing inventions from an eclectic stew of the brightest creative minds culled from every imaginable discipline.
What others say

“For former Disney Imagineer Bran Ferren, being an inventor means creating just about anything that makes the world a better place.” — Fast Company, May 18, 2011",no pronouns,0,0,0,male
Steven Wise,Animal rights lawyer,"By challenging long-held legal notions of “personhood”, Steven Wise seeks to grant cognitively advanced animals access to a full spectrum of fundamental rights.","Why you should listen
Using a long-term litigation campaign based on existing habeas corpus law, Steven Wise and the Nonhuman Rights Project are redefining the playing field for animal rights law. While the high-profile New York lawsuits Wise has initiated on behalf of captive chimpanzees have yet to bear fruit, they’re only the first stage of a strategy that is changing the conversation about animal rights.Wise’s work with the Nonhuman Rights Project is the subject of Unlocking the Cage, a forthcoming film by Chris Hegedus and D.A. Pennebaker.
What others say

““Wise’s strategy is an imaginative solution to a quandary that bedevils animal advocates: how other species should be treated in a legal system that lumps everything into the categories of persons or things.”” — Boston Globe, July 13, 2013",no pronouns,0,0,0,male
Tim Urban,Blogger,"With Wait But Why, Tim Urban demonstrates that complex and long-form writing can stand out in an online wilderness choked with listicles and clickbait.","Why you should listen
Tim Urban has become one of the Internet’s most popular writers. With wry stick-figure illustrations and occasionally epic prose on everything from procrastination to artificial intelligence, Urban's blog, Wait But Why, has garnered millions of unique page views, thousands of patrons and famous fans like Elon Musk.
What others say

“Wait But Why has captured a level of reader engagement that even the new-media giants would be envious of. ” — FastCompany, 2015",no pronouns,0,0,0,male
Joseph Ravenell,Physician and men’s health advocate,"Using unexpected channels like the pulpit and the barber’s chair, Dr. Joseph Ravenell delivers basic health care information to an at-risk demographic — African-American men.","Why you should listen
Colorectal cancer and hypertension are the two leading causes of death among African-American males over 50, and yet these men remain underserved by basic diagnostic procedures such as blood pressure checks or cancer screening. By tapping the members of the African-American community most often trusted by men -- barbers and religious leaders -- Joseph Ravenell hopes to change that.   Working with New York University's Men's Health Initiative, Ravenell studies and implements community-based strategies to diagnose and treat these preventable and potentially deadly diseases, offering blood pressure readings at barbershops and health education at churches and mosques.
What others say

“This doctor is trying to save black lives, one haircut at a time.” — Huffington Post, September 14, 2015",no pronouns,0,0,0,male
Anthony D. Romero,"Attorney, public-interest activist",Anthony D. Romero is the executive director of the American Civil Liberties Union (ACLU).,"Why you should listen
The ACLU is dedicated to defending liberty and individual freedom in the US -- which is an interesting mandate to have right now. Anthony Romero has headed the organization since 2001, focusing on building capacity in order to defend the laws that protect Americans' freedoms.   Under Romero's watch, the ACLU launched its national ""Keep America Safe and Free"" campaign to protect basic freedoms during a time of crisis; launched its unique legal challenge to the patents held by a private company on the human genes associated with breast and ovarian cancer; launched litigation and lobbying efforts to win the freedom to marry for same-sex couples; and filed the first lawsuit against President Trump’s Muslim Ban. ",no pronouns,0,0,0,male
Richard Browning,"Founder, Gravity","Richard Browning is the founder of human propulsion technology startup Gravity, which has invented, built and patented a personal flight system. ","Why you should listen
Richard Browning is an ultra-marathon runner, an ex-Royal Marine reservist, former City commodity trader and a pioneering inventor. He's the founder of Gravity, launched in March 2017 with a dream to reimagine an entirely new form of human flight, leaning on an elegant collaboration of mind and body augmented by leading-edge technology.   Gravity has to date been experienced by over a billion people globally with video views alone running at more than 60m within seven days of launch. Browning's vision is to build Gravity into a world-class aeronautical engineering business, challenge perceived boundaries in human aviation, and inspire a generation to dare ask ‘what if…’",no pronouns,0,0,0,male
Adam Alter,Psychologist,What makes us incessantly check our phones? Adam Alter dives into the fascinating psychology that drives our tech addictions.,"Why you should listen
Adam Alter's academic research focuses on judgment, decision-making and social psychology, with a particular interest in the sometimes surprising effects of subtle cues in the environment on human cognition and behavior.He is the bestselling author of two books: Irresistible, which considers why so many people today are addicted to so many behaviors, from incessant smart phone and internet use to video game playing and online shopping, and Drunk Tank Pink, which investigates how hidden forces in the world around us shape our thoughts, feelings and behaviors.   ",no pronouns,0,0,0,male
Keith Schacht,Inventor,"Keith Schacht co-founded Inventables, a hothouse for innovation. More recently he's brought us the JobCoin listings board, the Freshwater Venture entrepreneur map, and Facebook's Grow-a-Gift.","Why you should listen
Keith Schacht founded Inventables in 2002 with co-founder Zach Kaplan. The firm seeks out new materials, and new uses for new materials, bringing fresh ideas for business products and the world's most amazing toys. Schacht has recently left Inventables to start a few new ventures, including the JobCoin listings service and Facebook's Grow-a-Gift.  ",no pronouns,0,0,0,male
Torsten Reil,Animating neurobiologist,"By coding computer simulations with biologically modeled nervous systems, Torsten Reil and his company NaturalMotion breathe life into the animated characters inhabiting the most eye-poppingly realistic games and movies around.","Why you should listen
From modeling the mayhem of equine combat in Lord of the Rings: Return of the King to animating Liberty City gun battles in Grand Theft Auto IV, Torsten Reil's achievements are all over the map these days. Software that he helped create (with NaturalMotion, the imaging company he co-founded) has revolutionized computer animation of human and animal avatars, giving rise to some of the most breathtakingly real sequences in the virtual world of video games and movies- and along the way given valuable insight into the way human beings move their bodies.Reil was a neural researcher working on his Masters at Oxford, developing computer simulations of nervous systems based on genetic algorithms-  programs that actually used natural selection to evolve their own means of locomotion. It didn't take long until he realized the commercial potential of these lifelike characters. In 2001 he capitalized on this lucrative adjunct to his research, and cofounded NaturalMotion. Since then the company has produced motion simulation programs like Euphoria and Morpheme, state of the art packages designed to drastically cut the time and expense of game development, and create animated worlds as real as the one outside your front door. Animation and special effects created with Endorphin (NaturalMotion's first animation toolkit) have lent explosive action to films such as Troy and Poseidon, and NaturalMotion's software is also being used by LucasArts in video games such as the hotly anticipated Indiana Jones. But there are serious applications aside from the big screen and the XBox console: NaturalMotion has also worked under a grant from the British government to study the motion of a cerebral palsy patient, in hopes of finding therapies and surgeries that dovetail with the way her nervous system is functioning.
What others say

“It might be surprising to find a biologist pushing the frontiers of computer animation. But Torsten Reil is bringing cheaper, lifelike digital characters to video games and films.” — Technology Review",last case,7,1,2,male
Sal Khan,Educator and social entrepreneur,"In 2004, Sal Khan, a hedge fund analyst, began making math tutorials for his cousins. Twelve years later, Khan Academy has more than 42 million registered users from 190 countries, with tutorials on subjects from basic math through economics, art history, computer science, health, medicine and more.","Why you should listen
Salman ""Sal"" Khan is the founder and chief executive officer of Khan Academy, a not-for-profit with a mission of providing a free, world-class education for anyone, anywhere.Khan Academy started as a passion project in 2004. Khan's cousin was struggling with math, so he tutored her remotely and posted educational videos on YouTube. So many people watched the videos that eventually Khan quit his job at a hedge fund and pursued Khan Academy full time. Today Khan Academy has more than 100 employees in Mountain View, California. Khan Academy believes learners of all ages should have unlimited access to free educational content they can master at their own pace. Its resources cover preschool through early college education, including math, grammar, biology, chemistry, physics, economics, finance and history. Additionally, Khan Academy offers free personalized SAT test prep in partnership with the test developer, the College Board. More than 42 million registered users access Khan Academy in dozens of languages across 190 countries.Khan has been profiled by ""60 Minutes,"" featured on the cover of Forbes, and recognized as one of TIME’s ""100 Most Influential People in the World."" In his book, The One World Schoolhouse: Education Reimagined, Sal outlines his vision for the future of education.Khan holds three degrees from MIT and an MBA from Harvard Business School.",last case,5,1,2,male
Mark Kelly,NASA astronaut,"After Rep. Gabby Giffords was wounded by a would-be assassin’s bullet in January 2011, she and her husband, Mark Kelly, a NASA astronaut, retired US Navy captain and combat veteran, have become known around the world for their story of hope and resilience.","Why you should listen
For nearly 15 years, Gabby Giffords has dedicated herself to public service. As the youngest woman ever elected to the Arizona State Senate, she represented her community in the Arizona Legislature from 2000-2005, and then in US Congress from 2006-2012. In Congress, Gabby represented a diverse area that covers 9,000 square miles including a 114-mile border with Mexico. She quickly became a leading champion of border security, energy independence, and the needs of military families and veterans. She was consistently ranked as one of the most centrist legislators in Congress. 
In 2007, Giffords married Mark Kelly, a Naval aviator who flew 39 combat missions in Operation Desert Storm and NASA astronaut. Mark flew his first of four missions in 2001 aboard Space Shuttle Endeavour, the same space shuttle that he commanded on its final flight in May 2011. He has also commanded Space Shuttle Discovery and is one of only two individuals who have visited the International Space Station on four different occasions.
On January 8, 2011 in Tucson, Arizona, an assassination attempt at an event with constituents left Giffords severely wounded, and six others dead. Since that day, Gabby and Mark have become known for their story of hope and resilience in the wake of tragedy.",last case,3,7,2,male
Raspyni Brothers,Jugglers,"Unapologetic vaudevillians Barry Friedman and Dan Holzman — the Raspyni Brothers — have been international juggling champions, Guinness record holders, recurring guests on ""The Tonight Show"" and, recently, preeminent entertainers on the corporate seminar circuit.","Why you should listen
The Raspyni Brothers' inventory of international championships, TV appearances and national tours may seem a lot to juggle, but then, Dan Holzman and Barry Friedman are jugglers by trade. Their waggish humor, irresistible stage presence and ""panther-like reflexes"" have turned these jesters from openers into the headline act. While the Raspynis sling their share of unique props, their trademark maneuver is (perhaps) the strategic interlude: stalling difficult, dangerous stunts with quips, asides and even deliberate mistakes. The duo's arch brand of onstage chemistry often steals the spotlight from conventional juggling showstoppers. (Though, we should mention, they won't hesitate to use torches, sickles and machetes.) In recent years Friedman and Holzman have carved a niche on the business seminar circuit, electrifying corporate audiences with lessons on teamwork, balance, trust and -- if you happen to be the CEO -- mortal peril. Sergey Brin has remarked, ""They're the Google of comedy."" So, welcome to Vaudeville 2.0.
What others say

“Their show is a wild, uninhibited, fast-moving comedy revue.” — Associated Press",non-binary,0,0,4,they (group male)
They Might Be Giants,Band,"John Linnell and John Flansburgh are They Might Be Giants: multi-instrumental, tech-savvy and implacably prolific, they are the musicians of choice of geeks, tinkerers and curious kids of all ages.","Why you should listen
Geek-pop maestros John Linnell and John Flansburgh of They Might Be Giants can count inspired adults, inquisitive children, casual pop listeners and underground connoisseurs as equals among their fan base. From their origins in New York City's alternative rock scene in the 1980s to the children's entertainment industry 20 years later, they've been crafting quirky, lore-filled tunes which, despite their capricious instrumentation, remain catchy, effervescent, enduring -- and almost defiantly accessible.As the first major-label band to release an album in exclusively MP3 format, They Might Be Giants are no strangers to offbeat, tech-centric projects. For their album Apollo 18 (named for a nonexistent moon mission), NASA dubbed them the ""Musical Ambassadors"" for International Space Year in 1992 -- while their Dial-A-Song answering machine is the stuff of D.I.Y. music legend. They continue to give away video and audio from live shows, write and distribute new, free songs frequently, and their list of ingenious projects is endless.",non-binary,0,0,12,they (group male)
Naturally 7,A capella ensemble,"The group Naturally 7 practices vocal play — the art of using the human voice to mimic instruments. It's as if a beatboxing troupe decided they could ""-box"" a whole orchestra: flute, horns, drums, guitar — building a vocal wall of sound.","Why you should listen
The men of Naturally 7 can sing like a dream. But what you might not expect from this vocal group is what else they do -- their voices contain multitudes of instruments, from a glorious trumpet to a full drum kit (with a side of turntables). They call it ""vocal play"" -- the art of creating instrumental music with the human voice. It's an evolutionary step beyond beatboxing, which is a solo pursuit -- these seven musicians are a tight orchestra.Naturally 7's sonic range is clear even by reading the member lineup: Roger ""N'glish"" Thomas is a baritone and rapper; Rod Eldridge handles tenor, trumpet and scratching; Warren Thomas brings percussion, guitar and a third tenor. Baritone Dwight Stewart; tenors Jamal Reed and Garfield Buckley (who also plays harmonica); and bass Armand Hutton round out the group.
What others say

“The group adamantly defies characterizations as a capella, a term which refers to singing without instruments. Naturally 7, on the other hand, use their voices as instruments.” — The Lonely Note",non-binary,0,0,5,they (group male)
OK Go,Band,"A wildly creative band of music- and video-makers, OK Go is building a media empire on the back of endless, boundless ingenuity.","Why you should listen
Singer and video director Damian Kulash, Jr. and bassist Tim Nordwind met at summer camp in 1987, and a decade later they formed OK Go. With Dan Konopka as drummer and Andy Ross as guitarist and resident computer programmer, they've built a unique career at the intersection of music, visual art, technology, and science. They're among an emerging class of artists whose 21st-century brand of experimental creativity dissolves the traditional boundaries between disciplines.""When our band started, music and art were actually different things,"" says Kulash. ""Musicians made plastic discs and artists made objects for galleries. Now we all make ones and zeros, so the categorical distinctions don’t make much sense anymore.""OK Go have collaborated with dance companies and tech giants, cosmonauts and Muppets, scientists and entrepreneurs. Their videos have been encoded on strands of actual DNA. They've penned New York Times op-eds and testified before the US Congress, and they were President Obama's selection to perform at his 50th birthday party.OK Go received The Smithsonian American Ingenuity Award for Visual Art, and they've been honored with a Grammy, three MTV Video Music Awards, eleven Cannes Lions, a CLIO, three UK Music Video Awards, two Webby Awards and have had their work presented at The Guggenheim, MoCA, LACMA, The Hirschhorn, The Hammer Museum and Seattle’s Museum of Pop Culture. Their latest video is ""The One Moment,"" directed by Kulash.",non-binary,1,0,5,they (group male)
Handspring Puppet Co.,Puppeteers,"Basil Jones and Adrian Kohler, of Handspring Puppet Company, bring the emotional complexity of animals to the stage with their life-size puppets. Their latest triumph: ""War Horse.""","Why you should listen
Handspring Puppet Company was founded in 1981 by four graduates of the Michaelis School of Fine Art in Cape Town, South Africa. Two of the co-founders, Adrian Kohler and Basil Jones, continue to run the company. Originally they created shows for children and thereafter works for adult audiences. Arguably one of the greatest puppetry companies in the world, Handspring has since collaborated with a succession of innovative South Africa directors including Malcolm Purkey, Barney Simon and artist William Kentridge.
Apart from seasons throughout theatres across South Africa, Handspring has been presented at many international festivals including Edinburgh, the Avignon Festival, the Next Wave Festival at BAM in New York, The African Odyssey Festival at the Kennedy Centre in Washington, Theatre d' Automne in Paris, Theatre der Welt in Germany, as well as in Hong Kong, Singapore, Adelaide, Zurich and Bogota.
The company provides an artistic home and professional base for a core group of performers, designers, theatre artists and technicians who collaborate with them on a project basis. Based in South Africa they continue to explore the boundaries of adult puppet theatre within an African context.
""War Horse"" is currently playing in London, at the New London Theatre, and opens in New York at Lincoln Center on April 14, 2011.",non-binary,0,0,5,they (group male)
Improv Everywhere,Pranksters,Improv Everywhere is a New York City-based prank collective that causes scenes of chaos and joy in public places.,"Why you should listen
Created in August 2001 by Charlie Todd, Improv Everywhere  has executed over 100 missions involving tens of thousands of undercover agents. They've now pranked two conferences, TED2012 and Gel 2011.The cast and credits for the TED mission: Produced by: Charlie Todd and Cody LindquistStarring: Eugene Cordero as Colin RobertsonAnimation by: Bob BonniolSong by: Tyler Walker Read the full report of how they created a TED speaker's worst nightmare on the Improv Everywhere blog >> The cast and credits for the Gel mission:Shot by: Keith Haskel, Georgia Hilton, Kristopher Knight, Nathan Russell, Andrew Flynn Soltys, Charlie Todd, Angel Yau Photography: Katie Sokoler (Flickr Set), Gene Driskell Starring: (in order of appearance) Michael Kayne, Corey Johnson, Megan Maes, Kevin R. Free, Amy Heidt, Lauren Adams, John Flynn Chorus: Ari Scott, Cody Lindquist, Winston Noel, Kerry  McGuire, Ashley Harrell, Anthony King, Scott Brown, Mark Sam Rosenthal,  Dimon Hunter, Will Storie, Seth Shelden, Kirk Damato, Justin Purnell,  Venessa Diaz, Gerard Haitz, Steve Dressler, Jeremy Bent, Todd Simmons,  Lindsey Sproul, Lauren Reeves, Milo Finch, Big Rich Armstead, Johnathan  Fernandez, Jaime Linn, Evan Greenspoon, Lydia Hensler, Jaime Skinner,  Natalie Neckyfarow, Cassandra TaylorRead the full report of how they pulled off this musical conference prank on the Improv Everywhere blog >> ",non-binary,0,0,2,they (group mixed)
Quixotic Fusion,Performance ensemble,"Anthony Magliano and Mica Thomas are the founder and artistic directors of Quixotic, a mixed-media theater/performance/aerialist company.","Why you should listen
Quixotic, conceived by founder Anthony Magliano is an ensemble of artists from various disciplines including aerial acrobatics, dance, fashion, film, music and visual f-x. This inventive group of artists goes beyond the limits of any specific art form, challenging traditional perceptions and creating a total sensory experience unlike any other for its audience while exploring infinite possibilities of movement, sound and multimedia.
What others say

“I want Quixotic audiences to be challenged, to feel a little unsettled, to feel like it's a little bit dangerous.” — Anthony Magliano",no pronouns,0,0,0,they (group mixed)
