title,views,descr
Pay attention to nonviolence,"
669,199
","
In 2003, the Palestinian village of Budrus mounted a 10-month-long nonviolent protest to stop a barrier being built across their olive groves. Did you hear about it? Didn't think so. Brazilian filmmaker Julia Bacha asks why we only pay attention to violence in the Israel-Palestine conflict — and not to the nonviolent leaders who may one day bring peace.
"
Can we make things that make themselves?,"
905,252
","
MIT researcher Skylar Tibbits works on self-assembly — the idea that instead of building something (a chair, a skyscraper), we can create materials that build themselves, much the way a strand of DNA zips itself together. It's a big concept at early stages; Tibbits shows us three in-the-lab projects that hint at what a self-assembling future might look like.
"
Compassion and the true meaning of empathy,"
1,231,934
","
Buddhist roshi Joan Halifax works with people at the last stage of life (in hospice and on death row). She shares what she's learned about compassion in the face of death and dying, and a deep insight into the nature of empathy.
"
Unintended consequences,"
772,492
","
Every new invention changes the world — in ways both intentional and unexpected. Historian Edward Tenner tells stories that illustrate the under-appreciated gap between our ability to innovate and our ability to foresee the consequences. 
"
Making matter come alive,"
671,175
","
Before life existed on Earth, there was just matter, inorganic dead ""stuff."" How improbable is it that life arose? And — could it use a different type of chemistry? Using an elegant definition of life (anything that can evolve), chemist Lee Cronin is exploring this question by attempting to create a fully inorganic cell using a ""Lego kit"" of inorganic molecules — no carbon — that can assemble, replicate and compete.
"
Shake up your story,"
915,409
","
Artist Raghava KK demos his new children's book for iPad with a fun feature: when you shake it, the story — and your perspective — changes. In this charming short talk, he invites all of us to shake up our perspective a little bit.
"
Human-centered design,"
681,708
","
IDEO’s David Kelley says that product design has become much less about the hardware and more about the user experience. He shows video of this new, broader approach, including footage from the Prada store in New York.
"
Does democracy stifle economic growth?,"
762,593
","
Economist Yasheng Huang compares China to India, and asks how China's authoritarian rule contributed to its astonishing economic growth — leading to a big question: Is democracy actually holding India back? Huang's answer may surprise you.
"
Hire the hackers!,"
1,156,517
","
Despite multibillion-dollar investments in cybersecurity, one of its root problems has been largely ignored: who are the people who write malicious code? Underworld investigator Misha Glenny profiles several convicted coders from around the world and reaches a startling conclusion.
"
The art of wearable communication,"
825,906
","
Artist Kate Hartman uses wearable electronics to explore how we communicate, with ourselves and with the world. In this quirky and thought-provoking talk, she shows the ""Talk to Yourself Hat"", the ""Inflatable Heart"", the ""Glacier Embracing Suit"", and other unexpected devices.
"
Welcome to the genomic revolution,"
794,440
","
Cheap and fast genome sequencing is about to turn health care (and insurance, and politics) upside down. Richard Resnick shows how, in this accessible talk.
"
The conscience of television,"
557,999
","
TV executive Lauren Zalaznick thinks deeply about pop television. Sharing results of a bold study that tracks attitudes against TV ratings over five decades, she makes a case that television reflects who we truly are — in ways we might not have expected.
"
The Generosity Experiment,"
288,696
","
In this inspiring talk at the NextGen:Charity conference, Sasha Dichter of the Acumen Fund shares the results of his month-long ""Generosity Experiment"" where he said ""yes"" to every request for help.
"
The 6 killer apps of prosperity,"
1,494,154
","
Over the past few centuries, Western cultures have been very good at creating general prosperity for themselves. Historian Niall Ferguson asks: Why the West, and less so the rest? He suggests half a dozen big ideas from Western culture — call them the 6 killer apps — that promote wealth, stability and innovation. And in this new century, he says, these apps are all shareable.
"
What we learned from 5 million books,"
1,633,567
","
Have you played with Google Labs' Ngram Viewer? It's an addicting tool that lets you search for words and ideas in a database of 5 million books from across centuries. Erez Lieberman Aiden and Jean-Baptiste Michel show us how it works, and a few of the surprising things we can learn from 500 billion words. 
"
Selling condoms in the Congo,"
781,122
","
HIV is a serious problem in the DR Congo, and aid agencies have flooded the country with free and cheap condoms. But few people are using them. Why? ""Reformed marketer"" Amy Lockwood offers a surprising answer that upends a traditional model of philanthropy. (Some NSFW images.)
"
Fighting a contagious cancer,"
468,688
","
What is killing the Tasmanian devil? A virulent cancer is infecting them by the thousands  — and unlike most cancers, it's contagious. Researcher Elizabeth Murchison tells us how she's fighting to save the Taz, and what she's learning about all cancers from this unusual strain. Contains disturbing images of facial cancer.
"
What squatter cities can teach us,"
876,065
","
Rural villages worldwide are being deserted, as billions of people flock to cities to live in teeming squatter camps and slums. Stewart Brand says this is a good thing. Why? It’ll take you 3 minutes to find out.
"
"Doodlers, unite!","
1,151,689
","
Studies show that sketching and doodling improve our comprehension — and our creative thinking. So why do we still feel embarrassed when we're caught doodling in a meeting? Sunni Brown says: Doodlers, unite! She makes the case for unlocking your brain via pad and pen.
"
A doctor's touch,"
1,227,036
","
Modern medicine is in danger of losing a powerful, old-fashioned tool: human touch. Physician and writer Abraham Verghese describes our strange new world where patients are merely data points, and calls for a return to the traditional one-on-one physical exam.
"
A short intro to the Studio School,"
605,918
","
Some kids learn by listening; others learn by doing. Geoff Mulgan gives a short introduction to the Studio School, a new kind of school in the UK where small teams of kids learn by working on projects that are, as Mulgan puts it, ""for real."" 
"
Filming democracy in Ghana,"
387,590
","
Jarreth Merz, a Swiss-Ghanaian filmmaker, came to Ghana in 2008 to film the national elections. What he saw there taught him new lessons about democracy — and about himself.
"
Battling bad science,"
1,956,359
","
Every day there are news reports of new health advice, but how can you know if they're right? Doctor and epidemiologist Ben Goldacre shows us, at high speed, the ways evidence can be distorted, from the blindingly obvious nutrition claims to the very subtle tricks of the pharmaceutical industry.
"
A flirtatious aria,"
741,713
","
Can opera be ever-so-slightly sexy? The glorious soprano Danielle de Niese shows how, singing the flirty ""Meine Lippen, sie küssen so heiss."" Which, translated, means, as you might guess: ""I kiss so hot."" From Giuditta by Frans Lehár; accompanist: Ingrid Surgenor.
"
The generation that's remaking China,"
1,654,936
","
Yang Lan, a journalist and entrepreneur who's been called ""the Oprah of China,"" offers insight into the next generation of young Chinese citizens — urban, connected (via microblogs) and alert to injustice.
"
Finding life we can't imagine,"
585,090
","
How do we search for alien life if it's nothing like the life that we know? Christoph Adami shows how he uses his research into artificial life — self-replicating computer programs — to find a signature, a 'biomarker,' that is free of our preconceptions of what life is.
"
"Less stuff, more happiness","
3,173,561
","
Writer and designer Graham Hill asks: Can having less stuff, in less room, lead to more happiness? He makes the case for taking up less space, and lays out three rules for editing your life.
"
We can recycle plastic,"
916,485
","
Less than 10% of plastic trash is recycled — compared to almost 90% of metals — because of the massively complicated problem of finding and sorting the different kinds. Frustrated by this waste, Mike Biddle has developed a cheap and incredibly energy efficient plant that can, and does, recycle any kind of plastic.
"
Trusting the ensemble,"
471,707
","
Conductor Charles Hazlewood talks about the role of trust in musical leadership — then shows how it works, as he conducts the Scottish Ensemble onstage. He also shares clips from two musical projects: the opera ""U-Carmen eKhayelitsha"" and the ParaOrchestra.
"
What do babies think?,"
2,443,308
","
""Babies and young children are like the R&D division of the human species,"" says psychologist Alison Gopnik. Her research explores the sophisticated intelligence-gathering and decision-making that babies are really doing when they play.
"
How mobile phones helped solve two murders,"
125,287
","
Two murders sat unexplained and unsolved — until reporter Paul Lewis starting talking to bystanders who had evidence on their mobile phones. Step by step, Lewis pieced together their evidence and their stories to find justice for the victims. It's the future of investigative journalism, powered by the crowd.
"
How beauty feels,"
908,285
","
A story, a work of art, a face, a designed object — how do we tell that something is beautiful?  And why does it matter so much to us? Designer Richard Seymour explores our response to beauty and the surprising power of objects that exhibit it.
"
The day I turned down Tim Berners-Lee,"
547,726
","
Imagine it's late 1990, and you've just met a nice young man named Tim Berners-Lee, who starts telling you about his proposed system called the World Wide Web. Ian Ritchie was there. And ... he didn't buy it. A short story about information, connectivity and learning from mistakes.
"
Open science now!,"
130,134
","
What if every scientist could share their data as easily as they tweet about their lunch? Michael Nielsen calls for scientists to embrace new tools for collaboration that will enable discoveries to happen at the speed of Twitter.
"
How to spot a liar,"
13,555,801
","
On any given day we're lied to from 10 to 200 times, and the clues to detect those lie can be subtle and counter-intuitive. Pamela Meyer, author of Liespotting, shows the manners and ""hotspots"" used by those trained to recognize deception — and she argues honesty is a value worth preserving.
"
My mushroom burial suit,"
1,322,207
","
Here's a powerful provocation from artist Jae Rhim Lee. Can we commit our bodies to a cleaner, greener Earth, even after death? Naturally — using a special burial suit seeded with pollution-gobbling mushrooms. Yes, this just might be the strangest TEDTalk you'll ever see ...
"
Learning from a barefoot movement,"
3,519,529
","
In Rajasthan, India, an extraordinary school teaches rural women and men — many of them illiterate — to become solar engineers, artisans, dentists and doctors in their own villages. It's called the Barefoot College, and its founder, Bunker Roy, explains how it works.
"
Freeing energy from the grid,"
1,019,625
","
What would happen if we could generate power from our windowpanes? In this moving talk, entrepreneur Justin Hall-Tipping shows the materials that could make that possible, and how questioning our notion of 'normal' can lead to extraordinary breakthroughs.
"
How brain science will change computing,"
1,277,588
","
Treo creator Jeff Hawkins urges us to take a new look at the brain — to see it not as a fast processor, but as a memory system that stores and plays back experiences to help us predict, intelligently, what will happen next.
"
How cyberattacks threaten real-world peace,"
433,737
","
Nations can now attack other nations with cyber weapons: silent strikes on another country's computer systems, power grids, dams that leave no trace behind. (Think of the Stuxnet worm.) Guy-Philippe Goldstein shows how cyberattacks can leap between the digital and physical worlds to prompt armed conflict — and how we might avert this global security hazard.
"
"A prosthetic arm that ""feels""","
781,016
","
Physiatrist and engineer Todd Kuiken is building a prosthetic arm that connects with the human nervous system — improving motion, control and even feeling. Onstage, patient Amanda Kitts helps demonstrate this next-gen robotic arm.
"
Art made of storms,"
689,514
","
Artist Nathalie Miebach takes weather data from massive storms and turns it into complex sculptures that embody the forces of nature and time. These sculptures then become musical scores for a string quartet to play.
"
How economic inequality harms societies,"
2,198,018
","
We feel instinctively that societies with huge income gaps are somehow going wrong. Richard Wilkinson charts the hard data on economic inequality, and shows what gets worse when rich and poor are too far apart: real effects on health, lifespan, even such basic values as trust.
"
The divided brain,"
617,432
","
Psychiatrist Iain McGilchrist describes the real differences between the left and right halves of the human brain. It's not simply ""emotion on the right, reason on the left,"" but something far more complex and interesting. A Best of the Web talk from RSA Animate.
"
The strange tale of the Norden bombsight,"
924,936
","
Master storyteller Malcolm Gladwell tells the tale of the Norden bombsight, a groundbreaking piece of World War II technology with a deeply unexpected result.
"
Open-source cancer research,"
479,003
","
How does cancer know it's cancer? At Jay Bradner's lab, they found a molecule that might hold the answer, JQ1. But instead of patenting it and reaping the profits (as many other labs have done) — they published their findings and mailed samples to 40 other labs to work on. An inspiring look at the open-source future of medical research.
"
Stories cut from paper,"
893,018
","
With scissors and paper, artist Béatrice Coron creates intricate worlds, cities and countries, heavens and hells. Striding onstage in a glorious cape cut from Tyvek, she describes her creative process and the way her stories develop from snips and slices.
"
"FBI, here I am!","
763,346
","
After he ended up on a watch list by accident, Hasan Elahi was advised by his local FBI agents to let them know when he was traveling. He did that and more ... much more.
"
"Trust, morality — and oxytocin?","
1,436,067
","
What drives our desire to behave morally? Neuroeconomist Paul Zak shows why he believes oxytocin (he calls it ""the moral molecule"") is responsible for trust, empathy and other feelings that help build a stable society.
"
Swim with the giant sunfish,"
765,707
","
Marine biologist Tierney Thys asks us to step into the water to visit the world of the Mola mola, or giant ocean sunfish. Basking, eating jellyfish and getting massages, this behemoth offers clues to life in the open sea.
"
A plane you can drive,"
896,795
","
A flying car — it's an iconic image of the future. But after 100 years of flight and automotive engineering, no one has really cracked the problem. Pilot Anna Mracek Dietrich and her team flipped the question, asking: Why not build a plane that you can drive?
"
The real reason for brains,"
1,622,313
","
Neuroscientist Daniel Wolpert starts from a surprising premise: the brain evolved, not to think or feel, but to control movement. In this entertaining, data-rich talk he gives us a glimpse into how the brain creates the grace and agility of human motion.
"
"Augmented reality, techno-magic","
984,328
","
Using sleight-of-hand techniques and charming storytelling, illusionist Marco Tempest brings a jaunty stick figure to life onstage at TEDGlobal.
"
The right to understand,"
257,325
","
Medical, legal, and financial documents should be easy to read, but too often they aren’t. With spot-on (and funny) examples, Sandra Fisher Martins shows how overly complex language separates us from the information we need — and three steps to change that. In Portuguese with English subtitles.
"
The line between life and not-life,"
659,134
","
In his lab, Martin Hanczyc makes ""protocells,"" experimental blobs of chemicals that behave like living cells. His work demonstrates how life might have first occurred on Earth ... and perhaps elsewhere too.
"
High-tech art (with a sense of humor),"
734,995
","
Artist and TED Fellow Aparna Rao re-imagines the familiar in surprising, often humorous ways. With her collaborator Soren Pors, Rao creates high-tech art installations — a typewriter that sends emails, a camera that tracks you through the room only to make you invisible on screen — that put a playful spin on ordinary objects and interactions.
"
Ancient wonders captured in 3D,"
443,036
","
Ancient monuments give us clues to astonishing past civilizations — but they're under threat from pollution, war, neglect. Ben Kacyra, who invented a groundbreaking 3D scanning system, is using his invention to scan and preserve the world's heritage in archival detail. (Watch to the end for a little demo.)
"
A map of the brain,"
939,720
","
How can we begin to understand the way the brain works? The same way we begin to understand a city: by making a map. In this visually stunning talk, Allan Jones shows how his team is mapping which genes are turned on in each tiny region, and how it all connects up.
"
6 ways to save the internet,"
274,988
","
The next big shift is now, and it’s not what you think: Facebook is the new Windows; Google must be sacrificed. Tech investor Roger McNamee presents 6 bold ways to prepare for the next internet.
"
The shared experience of absurdity,"
2,592,813
","
Charlie Todd causes bizarre, hilarious, and unexpected public scenes: Seventy synchronized dancers in storefront windows, ""ghostbusters"" running through the New York Public Library, and the annual no-pants subway ride. His group, Improv Everywhere, uses these scenes to bring people together.
"
Want to help Africa? Do business here,"
791,682
","
We know the negative images of Africa — famine and disease, conflict and corruption. But, says Ngozi Okonjo-Iweala, there's another, less-told story happening in many African nations: one of reform, economic growth and business opportunity.
"
Conception to birth — visualized,"
5,655,842
","
Image-maker Alexander Tsiaras shares a powerful medical visualization, showing human development from conception to birth and beyond. (Some graphic images.)
"
Fly with the Jetman,"
7,395,591
","
Strapped to a jet-powered wing, Yves Rossy is the Jetman — flying free, his body as the rudder, above the Swiss Alps and the Grand Canyon. After a powerful short film shows how it works, Rossy takes the TEDGlobal stage to share the experience and thrill of flying.
"
A 12-year-old app developer,"
4,414,542
","
Most 12-year-olds love playing videogames — but Thomas Suarez taught himself how to create them. After developing iPhone apps like ""Bustin Jeiber,"" a whack-a-mole game, he is now using his skills to help other kids become developers.
"
Experiments that hint of longer lives,"
774,232
","
What controls aging? Biochemist Cynthia Kenyon has found a simple genetic mutation that can double the lifespan of a simple worm, C. elegans. The lessons from that discovery, and others, are pointing to how we might one day significantly extend youthful human life.
"
Science versus wonder?,"
629,992
","
Does science ruin the magic of life? In this grumpy but charming monologue, Robin Ince makes the argument against. The more we learn about the astonishing behavior of the universe — the more we stand in awe.
"
How games make kids smarter,"
393,249
","
Can playing video games make you more productive? Gabe Zichermann shows how games are making kids better problem-solvers, and will make us better at everything from driving to multi-tasking.
"
Being young and making an impact,"
489,256
","
At 18, Natalie Warne’s work with the Invisible Children movement made her a hero for young activists. She uses her inspiring story to remind us that no one is too young to change the world.
"
Salvation (and profit) in greentech,"
710,795
","
""I don't think we're going to make it,"" John Doerr says in an emotional talk about climate change and investment. To create a world fit for his daughter to live in, he says, we need to invest now in clean, green energy.
"
How to defend Earth from asteroids,"
1,916,446
","
What's six miles wide and can end civilization in an instant? An asteroid — and there are lots of them out there. With humor and great visuals, Phil Plait shows us all the ways asteroids can kill us (yipes), and what we must do to avoid them.
"
"Meet Rezero, the dancing ballbot","
533,160
","
Engineering student Péter Fankhauser demonstrates Rezero, a robot that balances on a ball. Designed and built by students, Rezero is the first ballbot made to move quickly and gracefully — and even dance. (Could the Star Wars sphere droid be real? Watch this and judge.)
"
The technology of storytelling,"
961,759
","
iPad storyteller Joe Sabia introduces us to Lothar Meggendorfer, who created a bold technology for storytelling: the pop-up book. Sabia shows how new technology has always helped us tell our own stories, from the walls of caves to his own onstage iPad. 

"
Nature. Beauty. Gratitude.,"
3,289,555
","
Nature’s beauty can be fleeting — but not through Louie Schwartzberg’s lens. His stunning time-lapse photography, accompanied by powerful words from Benedictine monk Brother David Steindl-Rast, serves as a meditation on being grateful for every day.
"
A garden in my apartment,"
1,527,393
","
Britta Riley wanted to grow her own food (in her tiny apartment). So she and her friends developed a system for growing plants in discarded plastic bottles — researching, testing and tweaking the system using social media, trying many variations at once and quickly arriving at the optimal system. Call it distributed DIY. And the results? Delicious.
"
Living beyond limits,"
1,322,133
","
When she was 19, Amy Purdy lost both her legs below the knee. And now ... she's a pro snowboarder (and a killer competitor on ""Dancing with the Stars""!). In this powerful talk, she shows us how to draw inspiration from life's obstacles.
"
Philosophy in prison,"
1,016,701
","
Damon Horowitz teaches philosophy through the Prison University Project, bringing college-level classes to inmates of San Quentin State Prison. In this powerful short talk, he tells the story of an encounter with right and wrong that quickly gets personal.
"
Don't regret regret,"
1,504,444
","
We're taught to try to live life without regret. But why? Using her own tattoo as an example, Kathryn Schulz makes a powerful and moving case for embracing our regrets.

"
How to stop torture,"
508,397
","
Political prisoners aren't the only ones being tortured — the vast majority of judicial torture happens in ordinary cases, even in 'functioning' legal systems. Social activist Karen Tse shows how we can, and should, stand up and end the use of routine torture.
"
What we learn before we're born,"
1,441,615
","
Pop quiz: When does learning begin? Answer: Before we are born. Science writer Annie Murphy Paul talks through new research that shows how much we learn in the womb — from the lilt of our native language to our soon-to-be-favorite foods.
"
How PhotoSynth can connect the world's images,"
4,588,612
","
Blaise Aguera y Arcas leads a dazzling demo of Photosynth, software that could transform the way we look at digital images. Using still photos culled from the Web, Photosynth builds breathtaking dreamscapes and lets us navigate them.
"
"Dance vs. powerpoint, a modest proposal","
440,072
","
Instead of a boring slide deck at your next presentation, how about bringing in a troupe of dancers? That's science writer John Bohannon's ""modest proposal"" in this spellbinding choreographed talk. He makes his case by example, in collaboration with dancers from Black Label Movement.
"
Building the musical muscle,"
499,040
","
Charles Limb performs cochlear implantation, a surgery that treats hearing loss and can restore the ability to hear speech. But as a musician too, Limb thinks about what the implants lack: They don't let you fully experience music yet. (There's a hair-raising example.) At TEDMED, Limb reviews the state of the art and the way forward.
"
Don't misrepresent Africa,"
110,933
","
Real narratives are complicated: Africa isn’t a country, and it's not a disaster zone, says reporter and researcher Leslie Dodson. She calls for journalists, researchers and NGOs to stop representing entire continents as one big tragedy.
"
How many lives can you live?,"
523,095
","
Spoken-word poet Sarah Kay was stunned to find she couldn’t be a princess, ballerina and astronaut all in one lifetime. In this talk, she delivers two powerful poems that show us how we can live other lives.
"
How to topple a dictator,"
218,793
","
People-powered resistance: can it work? Srdja Popovic led the nonviolent movement that took down Milosevic in Serbia in 2000; he lays out the plans, skills and tools that a people-powered movement needs — from nonviolent tactics to a sense of humor.
"
Massive-scale online collaboration,"
1,366,062
","
After re-purposing CAPTCHA so each human-typed response helps digitize books, Luis von Ahn wondered how else to use small contributions by many on the Internet for greater good. In this talk, he shares how his ambitious new project, Duolingo, will help millions learn a new language while translating the Web quickly and accurately — all for free.
"
The magnificence of spider silk,"
680,831
","
Cheryl Hayashi studies spider silk, one of nature's most high-performance materials. Each species of spider can make up to 7 very different kinds of silk. How do they do it? Hayashi explains at the DNA level — then shows us how this super-strong, super-flexible material can inspire.
"
Ultrasound surgery — healing without cuts,"
641,954
","
Imagine having a surgery with no knives involved. At TEDMED, Yoav Medan shares a technique that uses MRI to find trouble spots and focused ultrasound to treat such issues as brain lesions, uterine fibroids and several kinds of cancerous growths.
"
There are no mistakes on the bandstand,"
586,219
","
What is a mistake? By talking through examples with his improvisational Jazz quartet, Stefon Harris walks us to a profound truth: many actions are perceived as mistakes only because we don't react to them appropriately.
"
The world's smallest 3D printer,"
256,441
","
What could you do with the world’s smallest 3D printer? Klaus Stadlmann demos his tiny, affordable printer that could someday make customized hearing aids — or sculptures smaller than a human hair.
"
"A master architect asks, Now what?","
865,870
","
In a wildly entertaining discussion with Richard Saul Wurman, architect Frank Gehry gives TEDsters his take on the power of failure, his recent buildings, and the all-important “Then what?” factor. 
"
We can be Buddhas,"
1,249,984
","
In our hyperlinked world, we can know anything, anytime. And this mass enlightenment, says Buddhist scholar Bob Thurman, is our first step toward Buddha nature.
"
What happens when an NGO admits failure,"
205,036
","
International aid groups make the same mistakes over and over again. David Damberger analyzes his own engineering failure in India — and calls for his friends in the development sector to publicly admit, scrutinize and learn from their missteps.
"
The hidden light of Afghanistan,"
500,774
","
Photographer Monika Bulaj shares powerful, intimate images of Afghanistan — of home life, of ritual, of men and women. Behind the headlines, what does the world truly know about this place?
"
Color-coded surgery,"
1,067,764
","
Surgeons are taught from textbooks which conveniently color-code the types of tissues, but that's not what it looks like in real life — until now. At TEDMED Quyen Nguyen demonstrates how a molecular marker can make tumors light up in neon green, showing surgeons exactly where to cut.
"
Put a value on nature!,"
573,293
","
Every day, we use materials from the earth without thinking, for free. But what if we had to pay for their true value: would it make us more careful about what we use and what we waste? Think of Pavan Sukhdev as nature's banker — assessing the value of the Earth's assets. Eye-opening charts will make you think differently about the cost of air, water, trees ...
"
Cooking as alchemy,"
812,075
","
Homaro Cantu and Ben Roche come from Moto, a Chicago restaurant that plays with new ways to cook and eat food. But beyond the fun and flavor-tripping, there's a serious intent: Can we use new food technology for good?
"
An unexpected place of healing,"
343,787
","
When Ramona Pierson was 22, she was hit by a drunk driver and spent 18 months in a coma. In this talk, she tells the remarkable story of her recovery — drawing on the collective skills and wisdom of a senior citizens' home.
"
My subversive (garden) plot,"
172,259
","
A vegetable garden can do more than save you money — it can save the world. In this talk, Roger Doiron shows how gardens can re-localize our food and feed our growing population.
"
Medicine for the 99 percent,"
234,704
","
Sad but true: Many of the cures and vaccines our world desperately needs — for illnesses millions of people have — just aren't being produced or developed, because there's no financial incentive. Thomas Pogge proposes a $6 billion plan to revolutionize the way medications are developed and sold.
"
The quest to understand consciousness,"
1,418,828
","
Every morning we wake up and regain consciousness — that is a marvelous fact — but what exactly is it that we regain? Neuroscientist Antonio Damasio uses this simple question to give us a glimpse into how our brains create our sense of self.
"
A prosthetic eye to treat blindness,"
370,906
","
At TEDMED, Sheila Nirenberg shows a bold way to create sight in people with certain kinds of blindness: by hooking into the optic nerve and sending signals from a camera direct to the brain.
"
Rethink the desktop with BumpTop,"
1,356,596
","
Anand Agarawala presents BumpTop, a user interface that takes the usual desktop metaphor to a glorious, 3-D extreme, transforming file navigation into a freewheeling playground of crumpled documents and clipping-covered ""walls.""
"
The battle between your present and future self,"
1,901,575
","
Every day, we make decisions that have good or bad consequences for our future selves. (Can I skip flossing just this one time?) Daniel Goldstein makes tools that help us imagine ourselves over time, so that we make smart choices for Future Us.
"
There are no scraps of men,"
722,349
","
Alberto Cairo's clinics in Afghanistan used to close down during active fighting. Now, they stay open. In this powerful talk, Cairo tells the moving story of why — and how he found humanity and dignity in the midst of war.
"
How healthy living nearly killed me,"
1,295,828
","
For a full year, AJ Jacobs followed every piece of health advice he could — from applying sunscreen by the shot glass to wearing a bicycle helmet while shopping. Onstage at TEDMED, he shares the surprising things he learned.
"
Life's third act,"
2,205,525
","
Within this generation, an extra 30 years have been added to our life expectancy — and these years aren’t just a footnote. Jane Fonda asks how we can re-imagine this new phase of our lives.
"
The global power shift,"
919,117
","
Paddy Ashdown believes we are living in a moment in history where power is changing in ways it never has before. In a spellbinding talk he outlines the three major global shifts that he sees coming.
"
"1,000 TED Talks in six words","
586,862
","
Sebastian Wernicke thinks every TED Talk can be summarized in six words. In this talk, he shows how to do just that — and less.
"
"Change our culture, change our world","
109,297
","
We don’t just need better laws — we need better culture. Nate Garvis asks: What can we do to create an environment in which powerful institutions are used for the common good?
"
Can astronomers help doctors?,"
139,011
","
How do you measure a nebula? With a brain scan. In this talk, TED Fellow Michelle Borkin shows why collaboration between doctors and astronomers can lead to surprising discoveries.
"
Be suspicious of simple stories,"
238,100
","
Like all of us, economist Tyler Cowen loves a good story. But in this intriguing talk, he asks us to step away from thinking of our lives — and our messy, complicated irrational world — in terms of a simple narrative. 
"
Award-winning teenage science in action,"
852,792
","
In 2011 three young women swept the top prizes of the first Google Science Fair. Lauren Hodge, Shree Bose and Naomi Shah describe their extraordinary projects — and their route to a passion for science.
"
In defense of dialogue,"
267,481
","
In politics, it seems counterintuitive to engage in dialogue with violent groups, with radicals and terrorists, and with the states that support them. But Jonas Gahr Støre, the foreign minister of Norway, makes a compelling case for open discussion, even when our values diverge.
"
Animations of unseeable biology,"
1,187,638
","
We have no ways to directly observe molecules and what they do — but Drew Berry wants to change that. He demos his scientifically accurate (and entertaining!) animations that help researchers see unseeable processes within our own cells.
"
"""Women of Hope""","
283,034
","
Inspired by Aung San Suu Kyi’s call to action, “If you’re feeling helpless, help someone,” Morley composed this song. She sings it at TEDxWomen in her gorgeous, warm voice.
"
"Thorium, an alternative nuclear fuel","
344,280
","
Kirk Sorensen shows us the liquid fuel thorium reactor — a way to produce energy that is safer, cleaner and more efficient than current nuclear power. 
"
The debut of the British Paraorchestra,"
55,509
","
There are millions of prodigiously gifted musicians of disability around the world, and Charles Hazlewood is determined to give them a platform. Watch the debut performance of the British Paraorchestra.
"
Meet the Water Canary,"
324,278
","
After a crisis, how can we tell if water is safe to drink? Current tests are slow and complex, and the delay can be deadly, as in the cholera outbreak after Haiti's earthquake in 2010. TED Fellow Sonaar Luthra previews his design for a simple tool that quickly tests water for safety — the Water Canary. 
"
Atheism 2.0,"
1,827,317
","
What aspects of religion should atheists (respectfully) adopt? Alain de Botton suggests a ""religion for atheists"" — call it Atheism 2.0 — that incorporates religious forms and traditions to satisfy our human need for connection, ritual and transcendence.
"
Three types of online attack,"
897,841
","
Cybercrime expert Mikko Hypponen talks us through three types of online attack on our privacy and data — and only two are considered crimes. ""Do we blindly trust any future government? Because any right we give away, we give away for good.""
"
Why SOPA is a bad idea,"
1,252,638
","
What does a bill like PIPA/SOPA mean to our shareable world? At the TED offices, Clay Shirky delivers a proper manifesto — a call to defend our freedom to create, discuss, link and share, rather than passively consume.
"
How to make choosing easier,"
2,037,234
","
We all want customized experiences and products — but when faced with 700 options, consumers freeze up. With fascinating new research, Sheena Iyengar demonstrates how businesses (and others) can improve the experience of choosing.
"
The beautiful math behind the world's ugliest music,"
316,924
","
Scott Rickard set out to engineer the ugliest possible piece of music, devoid of repetition, using a mathematical concept known as the Costas Array. In this surprisingly entertaining talk, he shares the math behind musical beauty ... and its opposite.
"
Plant fuels that could power a jet,"
116,210
","
Algae plus salt water equals … fuel? At TEDxNASA@SiliconValley, Bilal Bomani reveals a self-sustaining ecosystem that produces biofuels — without wasting arable land or fresh water.
"
Is there a real you?,"
694,526
","
What makes you, you? Is it how you think of yourself, how others think of you, or something else entirely? Philosopher Julian Baggini draws from philosophy and neuroscience to give a surprising answer.
"
A primer on 3D printing,"
1,531,853
","
2012 may be the year of 3D printing, when this three-decade-old technology finally becomes accessible and even commonplace. Lisa Harouni gives a useful introduction to this fascinating way of making things — including intricate objects once impossible to create.
"
Extreme swimming with the world's most dangerous jellyfish,"
561,607
","
In the 1970s, Diana Nyad set long-distance swim records that are still unbroken. Thirty years later, at 60, she attempted her longest swim yet, from Cuba to Florida. In this funny, powerful talk at TEDMED, she talks about how to prepare mentally to achieve an extreme dream, and asks: What will YOU do with your wild, precious life?
"
Doctors make mistakes. Can we talk about that?,"
1,199,369
","
Every doctor makes mistakes. But, says physician Brian Goldman, medicine's culture of denial (and shame) keeps doctors from ever talking about those mistakes, or using them to learn and improve. Telling stories from his own long practice, he calls on doctors to start talking about being wrong.
"
"Know thyself, with a brain scanner","
351,113
","
Imagine playing a video game controlled by your mind. Now imagine that game also teaches you about your own patterns of stress, relaxation and focus. Ariel Garten shows how looking at our own brain activity gives new meaning to the ancient dictum ""know thyself.""
"
"Women entrepreneurs, example not exception","
494,401
","
Women aren’t micro—so why do they only get micro-loans? Reporter Gayle Tzemach Lemmon argues that women running all types of firms— from home businesses to major factories— are the overlooked key to economic development.
"
Hedonistic sustainability,"
392,051
","
Bjarke Ingels' architecture is luxurious, sustainable and community-driven. In this talk, he shows us his playful designs, from a factory chimney that blows smoke rings to a ski slope built atop a waste processing plant.
"
What happens inside those massive warehouses?,"
247,687
","
We make millions of online purchases daily, but who (or what) actually puts our items into packages? In this talk, Mick Mountz weaves a fascinating, surprisingly robot-filled tale of what happens inside a warehouse.
"
